0.8000,1.3052,0.7241,0.9996
0.2000,1.0351,1.6930,0.6195
0.8000,1.1274,0.7309,0.7213
0.4000,1.3608,1.8235,0.1083
0.0000,1.3367,0.8570,0.1305
0.0000,1.2286,1.8912,0.5873
0.4000,0.9379,0.8032,0.8038
0.6000,0.4935,1.6928,0.5918
0.2000,1.1573,0.7312,0.1815
0.8000,1.4697,1.8114,0.5442
0.0000,1.1188,0.6813,0.4164
0.4000,1.0504,1.9271,0.2271
0.8000,1.3163,0.5976,0.6751
0.4000,1.5062,1.6631,0.2814
0.0000,0.7795,0.6709,0.9929
0.2000,1.2028,1.6330,0.7440
0.0000,0.7960,0.6293,0.1654
0.4000,1.2692,1.8364,0.0185
0.4000,1.2471,0.7972,0.1024
0.0000,1.1967,1.7620,0.0563
0.0000,0.6086,1.0081,0.8942
0.4000,0.9850,1.7758,0.3499
0.0000,1.3281,0.7172,0.6827
0.2000,0.8397,1.6191,0.3437
0.4000,1.1469,0.7292,0.5704
0.8000,0.9208,1.8620,0.8662
0.0000,0.9661,0.6915,0.5667
0.8000,1.1823,1.8356,0.9611
0.8000,0.7569,0.8360,0.7174
0.6000,0.9566,1.6956,0.2053
0.8000,1.0977,0.9241,0.1783
0.0000,1.0446,1.7171,0.6788
0.8000,1.3459,0.7091,0.9391
0.2000,1.0918,1.7461,0.6713
0.6000,1.1238,0.5894,0.9035
0.6000,0.7596,1.6724,0.3643
0.0000,0.7773,0.8019,0.4728
0.8000,0.6196,1.7809,0.0481
0.8000,0.8415,0.6650,0.3472
0.4000,1.1069,1.6667,0.0593
0.0000,1.0819,0.8063,0.2190
0.8000,1.1717,1.8011,0.2250
0.6000,0.7477,0.7781,0.9504
0.0000,0.8145,1.7947,0.2905
0.6000,0.9753,0.7421,0.6455
0.8000,1.0303,1.8482,0.6629
0.4000,0.6066,0.7826,0.9519
0.4000,1.0603,1.9762,0.1982
0.4000,1.0673,0.7187,0.1984
0.6000,0.9602,1.7378,0.6275
